"DateTime"," NDVI (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDVI (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1987-03-02",0.1578,0.1432
"1987-04-03",0.2644,0.194
"1987-04-19",0.3833,0.3628
"1987-04-28",0.385,0.393
"1987-05-05",,
"1987-05-14",0.39,0.4091
"1987-05-30",0.4075,0.4276
"1987-06-06",0.3821,0.3766
"1987-06-15",0.4307,0.4562
"1987-06-22",0.4358,0.4691
"1987-07-01",0.444,0.4749
"1987-07-24",0.45,0.4182
"1987-08-02",0.4622,0.4863
"1987-08-09",0.2764,0.4244
"1987-08-18",0.4641,0.4788
"1987-08-25",0.4529,0.448
"1987-09-03",0.4712,0.4847
"1987-09-10",0.4564,0.4731
"1987-09-19",0.4592,0.4732
"1987-09-26",0.4382,0.4591
"1987-10-05",0.3757,0.3737
"1987-10-12",0.4606,0.4702
"1987-10-21",0.4615,0.4712
"1987-11-14",0.3022,0.4784
"1988-03-04",,
"1988-03-20",,
"1988-03-29",0.1298,0.12
"1988-04-05",0.3609,0.3346
"1988-04-14",,
"1988-04-21",0.3924,0.4092
"1988-04-30",0.3272,0.408
"1988-05-07",0.3902,0.4074
"1988-05-16",0.3973,0.4079
"1988-05-23",0.3913,0.3945
"1988-06-01",0.321,0.3864
"1988-06-08",0.3897,0.4305
"1988-06-17",0.4316,0.4545
"1988-06-24",0.4342,0.4666
"1988-07-03",0.4389,0.4698
"1988-07-26",0.4074,0.4568
"1988-07-27",0.4387,0.4766
"1988-08-11",0.4349,0.3957
"1988-08-27",0.4285,0.3456
"1988-09-05",0.4712,0.4987
"1988-09-21",0.3658,
"1988-09-28",0.4063,0.458
"1988-10-07",0.4302,0.4471
"1988-10-14",0.4585,0.4816
"1988-10-23",0.4687,0.4925
"1988-10-30",0.4613,0.4841
"1989-04-01",,
"1989-04-08",0.3578,0.4152
"1989-04-17",0.376,0.3903
"1989-04-24",0.3943,0.4301
"1989-05-03",0.3792,0.3091
"1989-05-10",,
"1989-05-26",,
"1989-06-11",,
"1989-06-20",0.307,0.3207
"1989-07-05",0.4343,0.4628
"1989-07-13",0.4587,0.4901
"1989-07-14",0.4143,0.4756
"1989-07-22",0.362,0.4483
"1989-07-29",0.4421,0.4731
"1989-08-07",0.45,0.4807
"1989-08-14",0.4683,0.4968
"1989-08-15",0.4558,0.4928
"1989-08-23",0.4507,0.4842
"1989-08-30",0.4506,0.4929
"1989-08-31",0.4303,0.4701
"1989-09-07",0.4336,0.4701
"1989-09-08",0.4078,0.4227
"1989-09-15",0.4622,0.4994
"1989-09-24",0.4514,0.481
"1989-10-01",0.4627,0.4876
"1989-10-10",0.455,0.4783
"1989-10-17",,
"1990-02-15",0.1691,0.1639
"1990-03-26",0.3513,0.338
"1990-04-04",0.3861,0.3718
"1990-04-11",,0.3756
"1990-04-20",0.414,0.3993
"1990-04-27",,
"1990-05-06",0.4025,0.4018
"1990-05-13",0.3656,
"1990-05-22",0.3907,0.4078
"1990-06-23",0.4224,0.4476
"1990-07-09",0.4616,0.4789
"1990-08-10",0.3775,0.4439
"1990-09-02",0.4551,0.4941
"1990-09-11",0.4831,0.503
"1990-09-27",,
"1990-10-04",,
"1990-10-13",0.482,0.4987
"1990-10-29",0.4919,0.5092
"1991-03-22",0.1152,0.1448
"1991-03-29",,
"1991-04-07",,
"1991-04-14",0.2102,0.1893
"1991-04-23",,
"1991-04-30",0.1465,0.194
"1991-05-09",,
"1991-05-25",0.4177,0.4341
"1991-06-01",,
"1991-06-10",0.4115,0.4024
"1991-06-17",0.4345,0.4753
"1991-06-26",0.4139,0.4563
"1991-07-03",0.4374,0.4824
"1991-07-12",0.4629,0.3854
"1991-07-19",0.4525,0.4373
"1991-07-28",0.4647,0.5098
"1991-08-04",,
"1991-08-20",,0.4844
"1991-08-29",0.4861,0.532
"1991-09-05",0.4265,0.51
"1991-09-14",0.4653,0.5092
"1991-09-21",0.4596,0.5037
"1991-10-07",0.4176,0.4761
"1991-10-16",0.4432,0.4795
"1991-10-23",,0.2551
"1992-01-20",0.2528,0.2292
"1992-03-15",0.2585,0.1848
"1992-03-24",0.2315,0.186
"1992-03-31",,
"1992-04-09",0.3173,0.3538
"1992-04-16",0.27,
"1992-04-25",0.3693,0.4007
"1992-05-02",0.2242,
"1992-05-11",0.365,0.4013
"1992-05-18",0.3197,0.2966
"1992-06-03",0.32,0.3831
"1992-06-04",0.3612,0.4052
"1992-06-11",0.2934,0.3005
"1992-06-12",0.408,0.453
"1992-06-19",0.4026,0.441
"1992-06-20",0.3489,
"1992-06-28",0.3046,0.4152
"1992-07-05",0.4251,0.4671
"1992-07-06",0.4413,0.4743
"1992-07-21",0.4367,0.4655
"1992-07-30",0.4377,0.463
"1992-08-15",0.4443,0.4696
"1992-08-22",0.4216,0.3836
"1992-08-31",,
"1992-09-07",0.4221,0.4606
"1992-09-16",0.3877,0.3978
"1992-09-23",0.4468,0.4765
"1992-10-02",0.4248,0.4451
"1992-10-09",0.4099,0.4255
"1992-10-18",0.3936,0.457
"1992-10-25",0.3512,0.391
"1992-11-03",,
"1992-11-10",0.1803,0.2645
"1992-11-26",0.1779,0.1691
"1992-12-12",,
"1992-12-21",0.2551,0.2442
"1993-01-06",0.259,0.2338
"1993-01-13",0.2769,0.2494
"1993-01-22",0.2988,0.2669
"1993-01-29",,
"1993-02-07",,
"1993-02-14",,0.1493
"1993-02-23",0.2896,0.2335
"1993-03-02",0.2987,0.2331
"1993-03-18",,
"1993-04-03",,
"1993-04-12",0.3781,0.3961
"1993-04-19",,0.313
"1993-04-28",0.3725,0.3957
"1993-05-05",,
"1993-05-14",0.3668,0.341
"1993-05-30",0.3174,0.358
"1993-06-06",,
"1993-06-15",0.4153,0.4088
"1993-06-22",0.4223,0.4607
"1993-07-01",0.4236,0.4629
"1993-07-08",0.2974,0.4062
"1993-07-17",,
"1993-07-24",,0.4496
"1993-08-02",0.4479,0.4725
"1993-08-09",0.4554,0.4859
"1993-08-18",0.3516,0.4124
"1993-08-25",0.4312,0.4787
"1993-09-03",0.479,0.51
"1993-09-10",0.451,0.4775
"1993-09-19",0.4105,0.4847
"1993-09-26",0.4578,0.4864
"1993-10-05",0.4374,0.4589
"1993-10-12",0.3911,0.4306
"1993-10-21",0.4626,0.483
"1993-10-28",0.1224,
"1993-11-06",0.2439,0.1596
"1993-11-13",0.339,0.2892
"1993-11-22",0.3517,0.3375
"1993-11-29",0.4198,0.3854
"1993-12-08",0.2471,0.3046
"1993-12-24",,
"1994-01-09",0.3966,0.3605
"1994-01-16",,
"1994-01-25",,
"1994-02-01",0.178,0.1631
"1994-02-10",0.2588,
"1994-02-17",,
"1994-02-26",0.3317,0.2984
"1994-03-14",0.3714,0.3765
"1994-03-21",0.4348,0.4272
"1994-03-30",0.1431,0.1288
"1994-04-06",0.0992,0.0905
"1994-04-15",0.3505,0.3222
"1994-04-22",0.3967,0.4109
"1994-05-01",,
"1994-05-08",0.4014,0.4339
"1994-05-17",0.3837,0.4078
"1994-05-24",0.316,0.3674
"1994-06-02",0.4288,0.4139
"1994-06-09",0.4404,0.4736
"1994-06-18",0.4393,0.4741
"1994-06-25",0.4165,0.3753
"1994-07-04",0.4414,0.4723
"1994-07-11",0.4226,0.4584
"1994-08-05",,0.4093
"1994-08-12",0.484,0.5144
"1994-08-21",0.4737,0.4925
"1994-09-06",0.4377,0.5137
"1994-09-13",,
"1994-09-22",0.4895,0.5214
"1994-09-29",,
"1994-10-08",0.4159,0.382
"1994-10-15",,
"1994-10-24",0.3715,0.433
"1994-10-31",0.3307,0.387
"1994-11-09",0.2983,0.2355
"1994-11-16",0.1972,0.3197
"1994-11-25",0.4435,0.378
"1994-12-02",0.511,0.4966
"1994-12-11",,
"1994-12-18",0.4776,0.4548
"1994-12-27",0.5103,0.5141
"1995-01-03",0.3395,0.3041
"1995-01-12",,
"1995-01-19",0.5003,0.4822
"1995-01-28",0.3812,0.2393
"1995-02-04",0.3754,0.2571
"1995-02-13",0.1361,0.1659
"1995-02-20",0.3753,0.3005
"1995-03-08",,
"1995-03-17",,
"1995-03-24",0.3803,0.4285
"1995-04-02",0.2618,
"1995-04-18",,
"1995-04-25",0.2539,0.1179
"1995-05-04",0.2867,0.2617
"1995-05-11",,
"1995-06-05",0.4195,0.4094
"1995-06-12",0.4326,0.4662
"1995-06-21",0.4442,0.4755
"1995-06-28",0.3785,0.4041
"1995-07-07",0.4713,0.501
"1995-07-23",0.3712,0.4933
"1995-07-30",0.4148,0.5089
"1995-08-08",,
"1995-08-15",0.5191,0.5575
"1995-08-24",0.533,0.5509
"1995-08-31",0.5387,0.5737
"1995-09-09",0.3516,
"1995-09-16",0.515,0.5432
"1995-09-25",0.5621,0.5806
"1995-10-02",0.5332,0.562
"1995-10-11",0.5111,0.5316
"1995-10-18",0.5122,0.5524
"1995-11-03",0.5406,0.5693
"1995-11-19",0.3402,0.483
"1995-12-05",0.5318,0.5542
"1995-12-14",0.539,0.5588
"1995-12-21",0.4044,0.3202
"1996-01-31",0.2979,0.3205
"1996-02-07",0.3302,0.3072
"1996-02-16",0.5052,0.4949
"1996-02-23",0.4997,0.5143
"1996-03-03",0.4716,0.4501
"1996-03-10",,
"1996-03-19",0.3077,0.2347
"1996-03-26",0.3695,0.3715
"1996-04-11",0.4304,0.4523
"1996-04-27",,
"1996-05-06",0.4401,0.4423
"1996-05-13",0.4105,0.4493
"1996-05-22",0.4247,0.4518
"1996-05-29",0.4564,0.4886
"1996-06-07",0.4405,0.4682
"1996-06-14",,
"1996-06-23",0.4635,0.4887
"1996-06-30",0.3657,0.4266
"1996-07-16",0.472,0.5104
"1996-07-25",0.4713,0.4787
"1996-08-01",0.469,0.5035
"1996-08-10",0.5085,0.533
"1996-08-17",0.4796,0.5151
"1996-08-26",0.4794,0.4873
"1996-09-02",,
"1996-09-11",0.4787,0.4831
"1996-09-18",0.5264,0.559
"1996-09-27",0.1611,0.1389
"1996-10-04",0.4647,0.4926
"1996-10-13",0.5053,0.529
"1996-10-20",0.2593,0.3352
"1996-10-29",,
"1996-11-14",,
"1996-11-21",,
"1996-11-30",,
"1996-12-07",0.3067,0.2797
"1996-12-16",,
"1996-12-23",0.2358,0.2778
"1997-01-01",,
"1997-01-08",0.2948,0.3126
"1997-01-17",0.3645,0.3447
"1997-01-24",0.4927,0.4781
"1997-02-02",0.5126,0.5201
"1997-02-09",0.3961,0.3866
"1997-02-18",0.4513,0.4572
"1997-02-25",0.1767,0.1479
"1997-03-06",0.2823,0.2314
"1997-03-22",0.2886,0.4382
"1997-03-29",,
"1997-04-07",0.2251,0.2068
"1997-04-14",,
"1997-04-23",,
"1997-04-30",0.398,0.4388
"1997-05-09",0.4097,0.433
"1997-05-16",0.4122,0.4432
"1997-05-25",0.4424,
"1997-06-01",0.4234,0.451
"1997-06-10",0.4145,0.4483
"1997-06-17",,
"1997-06-26",0.4787,0.513
"1997-07-03",0.4611,0.5
"1997-07-12",0.4584,0.4869
"1997-07-19",,
"1997-08-13",0.4997,0.5326
"1997-08-20",0.5204,0.5602
"1997-08-29",0.4463,0.5279
"1997-09-05",0.5136,0.5581
"1997-09-14",0.5069,0.5415
"1997-09-30",0.515,0.5421
"1997-10-07",0.3796,0.3799
"1997-10-16",0.5067,0.5305
"1997-11-01",0.2797,0.2257
"1997-11-17",0.3313,0.2961
"1997-11-24",0.3947,0.3513
"1997-12-03",0.2063,0.1961
"1997-12-26",0.2406,0.2325
"1998-01-04",0.3304,0.2982
"1998-01-11",,
"1998-01-20",,
"1998-01-27",0.3113,0.2621
"1998-02-05",0.233,0.2061
"1998-02-12",0.3093,0.2536
"1998-02-28",0.2888,0.2212
"1998-03-09",0.2026,0.1876
"1998-03-16",,
"1998-03-25",0.3628,0.3309
"1998-04-01",0.312,0.2224
"1998-04-10",0.3184,
"1998-04-17",0.1287,0.116
"1998-05-03",0.378,0.417
"1998-05-12",0.4315,0.432
"1998-05-19",0.4034,0.4367
"1998-05-28",0.4332,0.4518
"1998-06-04",0.3866,
"1998-06-13",0.432,0.4544
"1998-06-20",0.4355,0.4682
"1998-06-29",0.4413,0.4711
"1998-07-15",0.4591,0.491
"1998-07-22",,0.4322
"1998-07-31",,
"1998-08-07",0.4832,0.5162
"1998-08-16",0.4893,0.5048
"1998-08-23",0.4926,0.5256
"1998-09-01",,
"1998-09-08",0.487,0.5171
"1998-09-17",0.516,0.5427
"1998-09-24",0.5132,0.541
"1998-10-03",0.3852,0.3662
"1998-10-10",0.4946,0.5205
"1998-10-19",0.4879,0.5093
"1998-11-04",0.3769,0.3492
"1998-11-11",0.2474,0.2454
"1998-11-20",,
"1998-11-27",0.5332,0.5648
"1998-12-06",0.2841,0.2819
"1998-12-13",0.3629,0.3282
"1998-12-22",0.2629,0.2902
"1998-12-29",0.3228,0.2812
"1999-01-07",0.3828,0.3024
"1999-01-14",,
"1999-01-23",0.2931,0.2781
"1999-01-30",,
"1999-02-08",0.4893,0.4729
"1999-02-24",0.3347,0.369
"1999-03-19",0.4141,0.4333
"1999-03-28",0.4179,0.4351
"1999-04-04",0.1322,0.1343
"1999-04-20",0.4048,0.4313
"1999-05-06",0.3992,0.4306
"1999-05-15",0.3966,0.4237
"1999-05-22",0.4043,0.4234
"1999-05-31",0.3393,0.4096
"1999-06-07",0.4281,0.4631
"1999-06-23",0.4435,0.4838
"1999-07-01",0.4544,0.4974
"1999-07-02",,
"1999-07-09",,
"1999-07-10",0.4839,0.5013
"1999-07-17",0.4989,0.4814
"1999-07-18",,0.4829
"1999-07-25",,
"1999-07-26",0.4776,0.5277
"1999-08-02",0.4913,0.5446
"1999-08-03",0.4444,0.514
"1999-08-10",0.3269,
"1999-08-11",,
"1999-08-18",0.4986,0.5514
"1999-08-19",0.4915,0.5325
"1999-08-26",0.4947,0.546
"1999-08-27",0.5102,0.5537
"1999-09-03",0.5018,0.5131
"1999-09-04",0.4899,0.5342
"1999-09-11",,
"1999-09-12",0.4763,0.5308
"1999-09-27",0.3903,0.4281
"1999-09-28",,
"1999-10-05",0.4779,0.5183
"1999-10-06",,
"1999-10-13",0.4815,0.5202
"1999-10-14",0.4869,0.5182
"1999-10-21",0.4853,0.4418
"1999-10-22",0.4772,0.4821
"1999-10-29",,0.2304
"1999-10-30",0.5075,0.5444
"1999-11-06",0.525,0.5629
"1999-11-07",0.4745,0.5013
"1999-11-14",0.5164,0.5508
"1999-11-15",0.5263,0.563
"1999-11-23",0.1306,0.1265
"1999-11-30",,
"1999-12-01",0.5065,0.4973
"1999-12-08",,
"1999-12-17",0.2881,0.2796
"1999-12-24",0.3428,0.3511
"1999-12-25",0.3754,0.3529
"2000-01-02",0.2103,0.2104
"2000-01-09",0.3361,0.3177
"2000-01-10",,
"2000-01-17",
"2000-01-18",0.196,
"2000-01-26",,
"2000-02-02",0.1652,0.1602
"2000-02-03",0.289,0.2689
"2000-02-10",,
"2000-02-11",0.1859,
"2000-02-18",0.1473,0.1453
"2000-02-19",0.3339,0.2859
"2000-02-26",0.4443,0.3805
"2000-02-27",0.2738,0.2772
"2000-03-05",0.4072,0.3008
"2000-03-06",0.4599,0.3635
"2000-03-13",0.4565,0.4047
"2000-03-14",0.4313,0.4158
"2000-03-21",,0.1172
"2000-03-29",0.4393,0.3072
"2000-04-07",0.3357,0.398
"2000-04-14",0.409,0.4566
"2000-04-23",,
"2000-05-01",0.2716,
"2000-05-09",0.3534,0.4613
"2000-05-16",0.4304,0.4736
"2000-05-17",,
"2000-05-24",,
"2000-05-25",0.4045,
"2000-06-01",0.4259,0.4749
"2000-06-02",0.4169,0.4262
"2000-06-09",,
"2000-06-10",0.417,0.4566
"2000-06-17",,
"2000-06-18",0.4128,0.4689
"2000-06-25",0.3367,
"2000-07-03",,
"2000-07-04",0.4315,0.4777
"2000-07-11",0.4319,0.445
"2000-07-12",0.3766,
"2000-07-19",0.4618,0.5142
"2000-07-20",0.45,0.5005
"2000-07-27",0.3403,0.3988
"2000-07-28",0.4429,0.4764
"2000-08-04",0.4457,0.4848
"2000-08-05",0.4471,0.4993
"2000-08-12",,
"2000-08-13",0.4576,0.4907
"2000-08-20",,
"2000-08-21",0.3739,
"2000-08-28",0.4667,0.505
"2000-09-05",0.472,0.5147
"2000-09-06",,0.4566
"2000-09-13",0.4614,0.4952
"2000-09-14",0.4694,0.507
"2000-09-21",0.3647,0.4647
"2000-09-22",,
"2000-09-29",0.2417,0.2473
"2000-09-30",0.4747,0.5113
"2000-10-07",,
"2000-10-08",0.4479,0.4767
"2000-10-15",0.4669,0.5074
"2000-10-16",0.4796,0.5143
"2000-10-23",,
"2000-10-24",0.471,0.5102
"2000-10-31",,
"2000-11-01",0.4875,0.5228
"2000-11-08",0.3648,0.3991
"2000-11-09",0.4042,0.4385
"2000-11-16",0.2651,0.2589
"2000-11-17",0.2945,0.2785
"2000-11-24",0.3688,0.3405
"2000-11-25",0.3806,0.3726
"2000-12-02",0.4342,0.4184
"2000-12-03",0.4543,0.4254
"2000-12-10",,
"2000-12-11",0.143,0.1571
"2000-12-18",0.3967,0.3874
"2000-12-19",,
"2000-12-26",0.2797,0.2838
"2000-12-27",0.412,0.3626
"2001-01-04",0.4775,0.4695
"2001-01-11",0.4973,0.4985
"2001-01-12",0.4731,0.4822
"2001-01-19",0.3039,0.3426
"2001-01-20",,
"2001-01-27",,
"2001-02-04",0.3613,0.3185
"2001-02-05",0.3956,0.3623
"2001-02-12",0.258,0.2591
"2001-02-13",0.2855,0.273
"2001-02-20",0.35,0.3131
"2001-02-21",0.365,0.3103
"2001-02-28",,
"2001-03-01",0.2003,
"2001-03-08",0.3239,0.2786
"2001-03-09",0.3936,0.3439
"2001-03-16",,
"2001-03-24",0.1374,0.1498
"2001-03-25",0.233,
"2001-04-01",0.4279,0.4462
"2001-04-02",0.3457,0.4453
"2001-04-09",0.3864,0.4335
"2001-04-10",,
"2001-04-17",0.3937,0.4097
"2001-04-18",0.3751,0.3476
"2001-04-25",0.3874,0.4347
"2001-04-26",0.4015,0.4405
"2001-05-11",0.3651,0.4102
"2001-05-12",0.3883,0.4348
"2001-05-19",,
"2001-05-20",0.4069,0.4564
"2001-05-27",0.293,0.4165
"2001-05-28",,
"2001-06-04",0.3773,
"2001-06-05",0.3786,0.4506
"2001-06-12",0.2637,0.3829
"2001-06-13",,
"2001-06-20",0.4033,
"2001-06-21",0.405,0.4682
"2001-06-28",0.4159,0.4653
"2001-06-29",0.4487,0.5343
"2001-07-06",0.3131,0.3645
"2001-07-07",0.4189,0.4735
"2001-07-15",0.3995,0.4508
"2001-07-22",,0.4798
"2001-07-23",,
"2001-07-30",0.3728,
"2001-07-31",0.3837,0.5187
"2001-08-07",0.467,0.5046
"2001-08-08",0.4604,0.4656
"2001-08-15",0.4423,0.4895
"2001-08-16",,
"2001-08-23",,
"2001-08-24",0.4556,0.5121
"2001-08-31",,
"2001-09-01",0.4803,0.5174
"2001-09-08",0.0991,
"2001-09-09",0.4752,0.4908
"2001-09-16",0.3172,0.3814
"2001-09-17",0.4861,0.5128
"2001-09-24",0.4505,0.5169
"2001-09-25",0.4425,0.4952
"2001-10-02",0.3033,0.4916
"2001-10-03",0.452,0.5184
"2001-10-11",,
"2001-10-18",0.3905,0.2849
"2001-10-19",0.4578,0.5105
"2001-10-26",0.4813,0.5528
"2001-10-27",,
"2001-11-03",0.2457,0.3506
"2001-11-04",0.4883,0.5464
"2001-11-11",0.4928,0.5411
"2001-11-12",0.466,0.5278
"2001-11-19",0.3655,0.3693
"2001-11-20",0.4889,0.518
"2001-11-27",0.1079,0.1205
"2001-11-28",0.1716,0.1953
"2001-12-05",0.4384,0.4801
"2001-12-06",0.4768,0.52
"2001-12-13",0.3333,0.3266
"2001-12-14",,
"2001-12-21",0.4472,0.4886
"2001-12-22",0.1911,0.26
"2001-12-29",0.4286,0.4087
"2001-12-30",,
"2002-01-06",0.3188,0.3669
"2002-01-07",0.3537,0.342
"2002-01-14",0.4765,0.4496
"2002-01-15",0.4053,0.4058
"2002-01-22",0.4378,0.4339
"2002-01-23",,
"2002-01-30",0.0971,0.0779
"2002-01-31",0.2488,0.2572
"2002-02-07",0.389,0.3915
"2002-02-08",0.3624,0.3905
"2002-02-15",0.1402,0.1952
"2002-02-16",0.3058,0.2918
"2002-02-23",0.2356,0.2537
"2002-02-24",0.3946,0.3915
"2002-03-03",0.1223,0.1865
"2002-03-12",,
"2002-03-19",0.1866,0.1958
"2002-03-28",0.3663,0.4124
"2002-04-04",0.4044,0.4726
"2002-04-13",0.3927,0.4561
"2002-04-20",0.3516,0.4206
"2002-04-29",0.2678,0.3428
"2002-05-06",0.3742,0.4408
"2002-05-07",0.3567,0.4135
"2002-05-14",,
"2002-05-15",,0.4041
"2002-05-22",0.3697,0.436
"2002-05-23",,
"2002-05-31",0.3751,0.3907
"2002-06-07",0.3685,0.4464
"2002-06-08",0.3572,0.4176
"2002-06-15",,
"2002-06-16",0.0645,0.3275
"2002-06-23",0.1181,0.3551
"2002-06-24",0.082,0.2863
"2002-07-01",0.0614,0.2356
"2002-07-02",0.1073,0.3171
"2002-07-09",0.1349,0.3628
"2002-07-10",0.1231,0.305
"2002-07-17",0.139,0.3474
"2002-07-18",0.1237,0.3591
"2002-07-25",0.1111,0.2816
"2002-07-26",0.1307,0.3704
"2002-08-02",,0.0857
"2002-08-03",,
"2002-08-10",0.1378,0.3912
"2002-08-11",0.1321,0.3716
"2002-08-18",,0.1937
"2002-08-19",0.1222,0.3527
"2002-08-26",0.1316,0.3845
"2002-08-27",0.1035,0.3145
"2002-09-03",0.1013,
"2002-09-04",0.1057,0.3595
"2002-09-11",,
"2002-09-12",0.1299,0.3743
"2002-09-19",0.1268,0.372
"2002-09-20",0.1427,0.3992
"2002-09-27",,
"2002-09-28",0.1234,0.2425
"2002-10-05",,0.3613
"2002-10-06",0.1344,0.3983
"2002-10-13",0.1401,0.4099
"2002-10-14",0.122,0.3704
"2002-10-21",0.1174,0.3676
"2002-10-22",0.1118,
"2002-10-29",,
"2002-10-30",-0.0105,0.1236
"2002-11-06",0.1154,0.3602
"2002-11-07",,
"2002-11-14",0.1007,0.3906
"2002-11-22",,
"2002-11-23",,
"2002-11-30",0.0904,0.3105
"2002-12-01",,
"2002-12-08",,
"2002-12-09",0.1186,0.4515
"2002-12-16",0.1281,0.4731
"2002-12-17",0.0992,0.3989
"2002-12-24",0.0212,0.2349
"2002-12-25",0.0646,0.3039
"2003-01-01",-0.0206,
"2003-01-02",-0.0073,0.1994
"2003-01-09",0.0676,0.3818
"2003-01-10",0.0872,0.1933
"2003-01-17",0.1122,0.4308
"2003-01-18",0.1112,0.3687
"2003-01-25",0.1051,0.3994
"2003-01-26",0.1189,0.4388
"2003-02-02",,0.2217
"2003-02-03",-0.0283,0.1037
"2003-02-10",-0.0303,0.1331
"2003-02-11",,
"2003-02-19",0.0357,0.1587
"2003-02-27",-0.0184,0.1075
"2003-03-06",-0.0281,0.1088
"2003-03-07",0.0134,0.11
"2003-03-14",0.0993,0.2218
"2003-03-15",0.1266,0.3297
"2003-03-22",-0.4164,0.0299
"2003-03-23",-0.0314,0.0653
"2003-03-30",0.0107,
"2003-03-31",,
"2003-04-07",0.1103,0.3011
"2003-04-08",0.105,0.2742
"2003-04-16",0.1235,0.3595
"2003-04-23",,
"2003-04-24",-0.3091,
"2003-05-01",0.1095,0.3156
"2003-05-02",,
"2003-05-09",0.103,0.2521
"2003-05-10",,
"2003-05-17",0.1453,0.3577
"2003-05-18",0.1201,0.288
"2003-05-25",0.1187,0.3333
"2003-05-26",0.1222,0.3344
"2003-06-02",0.1083,0.263
"2003-06-11",0.1453,0.3807
"2003-06-18",0.1056,
"2003-06-27",0.154,0.3845
"2003-07-04",0.1544,0.3957
"2003-07-13",,
"2003-07-20",0.1596,0.3825
"2003-07-21",0.1496,0.3876
"2003-07-28",0.1381,0.2832
"2003-07-29",,
"2003-08-05",0.1593,0.4153
"2003-08-06",0.1585,0.4228
"2003-08-13",0.1647,0.4159
"2003-08-14",0.1714,0.4166
"2003-08-21",0.1272,
"2003-08-22",0.1374,0.3675
"2003-08-29",0.1495,0.3613
"2003-09-06",,
"2003-09-15",0.1807,0.431
"2003-09-22",0.1757,0.4265
"2003-09-23",0.169,0.4138
"2003-09-30",0.1578,0.3897
"2003-10-01",0.144,0.3134
"2003-10-08",0.166,0.4019
"2003-10-09",0.1609,0.4088
"2003-10-16",0.1107,0.2261
"2003-10-17",0.1575,0.4045
"2003-10-24",0.1532,0.4102
"2003-10-25",0.1435,0.3022
"2003-11-01",,
"2003-11-02",0.1529,0.3522
"2003-11-09",0.1176,0.314
"2003-11-10",0.1444,0.4309
"2003-11-17",0.1423,0.4463
"2003-11-18",0.1383,0.4278
"2003-11-25",0.0245,0.1397
"2003-11-26",0.0709,0.2966
"2003-12-03",,
"2003-12-04",0.1207,0.3573
"2003-12-11",0.0137,0.2118
