"DateTime"," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1997-12-26",0.6703,0.6514
"1998-01-04",0.6262,0.6994
"1998-01-11",,
"1998-01-20",,
"1998-01-27",0.5451,0.6568
"1998-02-05",0.4931,0.606
"1998-02-12",0.5265,0.6645
"1998-02-28",0.4762,0.6742
"1998-03-09",0.6083,0.6369
"1998-03-16",,
"1998-03-25",0.1812,0.307
"1998-04-01",0.321,0.6237
"1998-04-10",0.1275,
"1998-04-17",0.7479,0.7587
"1998-05-03",0.0068,0.0367
"1998-05-12",-0.0114,-0.0118
"1998-05-19",-0.0104,-0.0152
"1998-05-28",-0.011,-0.0031
"1998-06-04",0.016,
"1998-06-13",0.0261,0.018
"1998-06-20",0.0042,0.0148
"1998-06-29",0.005,0.0134
"1998-07-15",0.0178,0.0298
"1998-07-22",,0.0736
"1998-07-31",,
"1998-08-07",0.0059,0.0248
"1998-08-16",0.0331,0.0575
"1998-08-23",0.0254,0.0392
"1998-09-01",,
"1998-09-08",0.0451,0.0577
"1998-09-17",0.0785,0.0912
"1998-09-24",0.0537,0.0669
"1998-10-03",0.1038,0.1162
"1998-10-10",0.0725,0.088
"1998-10-19",0.1008,0.1077
"1998-11-04",0.4549,0.5368
"1998-11-11",0.5872,0.619
"1998-11-20",,
"1998-11-27",0.1903,0.2025
"1998-12-06",0.6112,0.6202
"1998-12-13",0.5637,0.6434
"1998-12-22",0.6806,0.6613
"1998-12-29",0.3289,0.3711
"1999-01-07",0.2273,0.2349
"1999-01-14",,
"1999-01-23",0.6391,0.6656
"1999-01-30",,
"1999-02-08",0.1909,0.2692
"1999-02-24",0.1609,0.3324
"1999-03-19",0.0846,0.1212
"1999-03-28",0.0567,0.0602
"1999-04-04",0.5501,0.6391
"1999-04-20",0.0396,0.0516
"1999-05-06",0.0039,0.0106
"1999-05-15",-0.0095,-0.0067
"1999-05-22",-0.0016,0.0011
"1999-05-31",0.0727,0.0121
"1999-06-07",-0.004,0.0038
"1999-06-23",0.0095,0.0279
"1999-07-01",0.0041,0.0339
"1999-07-02",,
"1999-07-09",,
"1999-07-10",0.0463,0.0484
"1999-07-17",0.0649,0.0532
"1999-07-18",0.0242,0.0977
"1999-07-25",,
"1999-07-26",0.0126,0.0486
"1999-08-02",0.0197,0.0697
"1999-08-03",0.0677,0.0985
"1999-08-10",0.1435,
"1999-08-11",,
"1999-08-18",0.0111,0.0518
"1999-08-19",0.0358,0.0613
"1999-08-26",0.0639,0.0941
"1999-08-27",0.0251,0.0673
"1999-09-03",0.0248,0.0538
"1999-09-04",0.0424,0.0767
"1999-09-11",,
"1999-09-12",0.0614,0.086
"1999-09-27",0.0881,0.1183
"1999-09-28",,
"1999-10-05",0.0526,0.0782
"1999-10-06",,
"1999-10-13",0.0671,0.0959
"1999-10-14",0.067,0.0917
"1999-10-21",0.1569,0.3046
"1999-10-22",0.1188,0.1963
"1999-10-29",,0.2112
"1999-10-30",0.1124,0.1357
"1999-11-06",0.1172,0.146
"1999-11-07",0.124,0.1462
"1999-11-14",0.1385,0.167
"1999-11-15",0.1403,0.1662
"1999-11-23",0.7576,0.7608
"1999-11-30",,
"1999-12-01",0.2248,0.3251
"1999-12-08",,
"1999-12-17",0.6582,0.6266
"1999-12-24",0.6162,0.6312
"1999-12-25",0.6336,0.6256
"2000-01-02",0.7315,0.7525
"2000-01-09",0.6095,0.6983
"2000-01-10",,
"2000-01-17",
"2000-01-18",0.1898,
"2000-01-26",,
"2000-02-02",0.5611,0.5751
"2000-02-03",0.6579,0.7231
"2000-02-10",,
"2000-02-11",0.0886,0.6067
"2000-02-18",0.6683,0.7205
"2000-02-19",0.4925,0.6544
"2000-02-26",0.1746,0.362
"2000-02-27",0.1376,0.2812
"2000-03-05",0.1505,0.2788
"2000-03-06",0.1642,0.2676
"2000-03-13",0.1205,0.2936
"2000-03-14",0.1156,0.2407
"2000-03-21",,0.5808
"2000-03-29",0.1206,0.5204
"2000-04-07",0.0317,0.1055
"2000-04-14",0.0087,0.0398
"2000-04-23",,
"2000-05-01",0.1628,
"2000-05-09",0.0537,0.0869
"2000-05-16",-0.0195,0.0128
"2000-05-17",,
"2000-05-24",,
"2000-05-25",0.0662,
"2000-06-01",-0.0152,0.0164
"2000-06-02",0.0055,0.0401
"2000-06-09",,
"2000-06-10",-0.0129,0.0207
"2000-06-17",,
"2000-06-18",0.0089,0.0418
"2000-06-25",0.1258,
"2000-07-03",,
"2000-07-04",-0.0155,0.0251
"2000-07-11",0.0024,0.0104
"2000-07-12",0.0654,
"2000-07-19",-0.0195,0.0233
"2000-07-20",0.0089,0.0372
"2000-07-27",0.0655,0.0814
"2000-07-28",0.0627,0.0384
"2000-08-04",0.0114,0.0396
"2000-08-05",-0.0007,0.0416
"2000-08-12",,
"2000-08-13",-0.01,0.0255
"2000-08-20",,
"2000-08-21",0.0456,
"2000-08-28",0.0233,0.0627
"2000-09-05",-0.0046,0.0409
"2000-09-06",,0.0993
"2000-09-13",0.0169,0.0609
"2000-09-14",0.0088,0.0519
"2000-09-21",0.0845,0.06
"2000-09-22",,
"2000-09-29",0.0872,0.1299
"2000-09-30",0.0405,0.0859
"2000-10-07",,
"2000-10-08",0.0595,0.1071
"2000-10-15",0.0568,0.1058
"2000-10-16",0.0624,0.1064
"2000-10-23",,
"2000-10-24",0.0961,0.1497
"2000-10-31",,
"2000-11-01",0.1137,0.1449
"2000-11-08",0.3904,0.4506
"2000-11-09",0.271,0.329
"2000-11-16",0.5992,0.6774
"2000-11-17",0.6101,0.6894
"2000-11-24",0.4311,0.5829
"2000-11-25",0.3497,0.4783
"2000-12-02",0.2991,0.452
"2000-12-03",0.2911,0.4199
"2000-12-10",,
"2000-12-11",0.6271,0.6542
"2000-12-18",0.3797,0.51
"2000-12-19",,
"2000-12-26",0.6858,0.7031
"2000-12-27",0.563,0.5867
"2001-01-04",0.3176,0.4355
"2001-01-11",0.265,0.3837
"2001-01-12",0.2484,0.3513
"2001-01-19",0.5737,0.5741
"2001-01-20",,
"2001-01-27",,
"2001-02-04",0.3476,0.5631
"2001-02-05",0.295,0.4785
"2001-02-12",0.6082,0.6654
"2001-02-13",0.5071,0.6021
"2001-02-20",0.2964,0.4902
"2001-02-21",0.2813,0.4265
"2001-02-28",,
"2001-03-01",0.6488,
"2001-03-08",0.179,0.3272
"2001-03-09",0.1307,0.3243
"2001-03-16",,
"2001-03-24",0.6844,0.7097
"2001-03-25",0.1144,
"2001-04-01",0.0086,0.1066
"2001-04-02",0.004,0.0902
"2001-04-09",0.0039,0.0438
"2001-04-10",,
"2001-04-17",-0.0038,0.118
"2001-04-18",0.018,0.0712
"2001-04-25",-0.0062,0.033
"2001-04-26",-0.0019,0.0217
"2001-05-11",-0.0147,0.0236
"2001-05-12",-0.0336,0.0014
"2001-05-19",,
"2001-05-20",-0.0144,0.0287
"2001-05-27",-0.0183,0.0283
"2001-05-28",,
"2001-06-04",0.028,
"2001-06-05",0.0055,0.0274
"2001-06-12",-0.0239,0.051
"2001-06-13",,
"2001-06-20",0.0786,0.143
"2001-06-21",-0.0266,0.0346
"2001-06-28",-0.0206,0.0394
"2001-06-29",0.0562,0.0831
"2001-07-06",0.0775,0.1385
"2001-07-07",-0.0226,0.0559
"2001-07-15",-0.0224,
"2001-07-22",,0.0869
"2001-07-23",,
"2001-07-30",0.1067,
"2001-07-31",-0.0763,0.0518
"2001-08-07",0.119,0.0832
"2001-08-08",-0.0161,0.1471
"2001-08-15",0.0137,0.0603
"2001-08-16",,
"2001-08-23",,
"2001-08-24",-0.0321,0.0189
"2001-08-31",,
"2001-09-01",0.0518,0.1003
"2001-09-08",0.7151,
"2001-09-09",0.0295,0.1795
"2001-09-16",0.0473,0.1008
"2001-09-17",0.0475,0.1268
"2001-09-24",-0.0022,0.0583
"2001-09-25",-0.0119,0.0441
"2001-10-02",-0.0126,0.0759
"2001-10-03",0.0102,0.0724
"2001-10-11",,
"2001-10-18",0.042,0.0896
"2001-10-19",0.0427,0.0997
"2001-10-26",0.0523,0.1182
"2001-10-27",,
"2001-11-03",0.0884,0.1444
"2001-11-04",0.0816,0.1442
"2001-11-11",0.1057,0.1645
"2001-11-12",0.1038,0.1688
"2001-11-19",0.4983,0.6603
"2001-11-20",0.1554,0.2926
"2001-11-27",0.572,0.3369
"2001-11-28",0.7034,0.7064
"2001-12-05",0.2525,0.3723
"2001-12-06",0.2298,0.3408
"2001-12-13",0.5494,0.6617
"2001-12-14",,
"2001-12-21",0.2651,0.3811
"2001-12-22",0.6612,0.6992
"2001-12-29",0.3346,0.5005
"2001-12-30",,
"2002-01-06",0.5388,0.5636
"2002-01-07",0.4399,0.475
"2002-01-14",0.3095,0.5096
"2002-01-15",0.3061,0.483
"2002-01-22",0.2665,0.4527
"2002-01-23",,
"2002-01-30",0.4879,0.4711
"2002-01-31",0.6354,0.6502
"2002-02-07",0.2789,0.4266
"2002-02-08",0.2171,0.4113
"2002-02-15",0.7654,0.759
"2002-02-16",0.4977,0.5778
"2002-02-23",0.1235,0.222
"2002-02-24",0.1339,0.3057
"2002-03-03",0.7363,0.7174
"2002-03-12",,
"2002-03-19",0.5986,0.6972
"2002-03-28",0.0365,0.1931
"2002-04-04",-0.0195,0.0472
"2002-04-13",-0.0292,0.0268
"2002-04-20",-0.0246,0.045
"2002-04-29",0.0367,0.0461
"2002-05-06",-0.0543,0.0002
"2002-05-07",-0.0583,-0.0081
"2002-05-14",,
"2002-05-15",0.1462,0.0345
"2002-05-22",-0.0579,-0.0037
"2002-05-23",,
"2002-05-31",-0.051,-0.0186
"2002-06-07",-0.0663,0.0035
"2002-06-08",-0.0691,-0.0123
"2002-06-15",,
"2002-06-16",-0.2637,-0.0163
"2002-06-23",-0.3694,-0.1002
"2002-06-24",-0.3098,-0.0825
"2002-07-01",-0.2821,-0.0468
"2002-07-02",-0.3261,-0.0945
"2002-07-09",-0.367,-0.1157
"2002-07-10",-0.3395,-0.0699
"2002-07-17",-0.3378,-0.1058
"2002-07-18",-0.3406,-0.11
"2002-07-25",-0.2421,-0.0383
"2002-07-26",-0.3167,-0.0955
"2002-08-02",,0.1131
"2002-08-03",,
"2002-08-10",-0.3466,-0.1083
"2002-08-11",-0.3333,-0.1001
"2002-08-18",,-0.0151
"2002-08-19",-0.3117,-0.0945
"2002-08-26",-0.3378,-0.1038
"2002-08-27",-0.2983,0.0097
"2002-09-03",-0.1653,
"2002-09-04",-0.3014,-0.0848
"2002-09-11",,
"2002-09-12",-0.3046,-0.0465
"2002-09-19",-0.2902,-0.0147
"2002-09-20",-0.3294,-0.0644
"2002-09-27",,
"2002-09-28",-0.1787,-0.0638
"2002-10-05",,-0.029
"2002-10-06",-0.2874,-0.044
"2002-10-13",-0.282,-0.0345
"2002-10-14",-0.2737,-0.0261
"2002-10-21",-0.276,0.0049
"2002-10-22",-0.2256,0.0955
"2002-10-29",,
"2002-10-30",0.5543,0.6235
"2002-11-06",-0.2147,0.14
"2002-11-07",,
"2002-11-14",-0.2116,0.0922
"2002-11-22",,-0.0122
"2002-11-23",,
"2002-11-30",-0.1158,0.0272
"2002-12-01",,
"2002-12-08",,
"2002-12-09",-0.2658,0.0729
"2002-12-16",-0.2711,0.0726
"2002-12-17",-0.2548,0.0832
"2002-12-24",0.2703,0.5156
"2002-12-25",-0.014,0.3332
"2003-01-01",0.4846,
"2003-01-02",0.5676,0.5723
"2003-01-09",-0.0233,0.2118
"2003-01-10",0.0683,0.1667
"2003-01-17",-0.229,0.1241
"2003-01-18",-0.1545,0.0865
"2003-01-25",-0.2511,0.0743
"2003-01-26",-0.2678,0.0569
"2003-02-02",-0.1045,0.0208
"2003-02-03",0.6072,0.6657
"2003-02-10",0.6884,0.6561
"2003-02-11",,
"2003-02-19",0.1614,0.5913
"2003-02-27",0.6879,0.7116
"2003-03-06",0.4577,0.6883
"2003-03-07",0.3388,0.6738
"2003-03-14",-0.197,0.132
"2003-03-15",-0.2752,0.0991
"2003-03-22",0.8293,0.7345
"2003-03-23",0.7842,0.7255
"2003-03-30",0.135,
"2003-03-31",,
"2003-04-07",-0.2636,0.0636
"2003-04-08",-0.2482,0.1431
"2003-04-16",-0.2871,-0.0964
"2003-04-23",,
"2003-04-24",0.5612,
"2003-05-01",-0.259,-0.0979
"2003-05-02",,
"2003-05-09",-0.2289,-0.1121
"2003-05-10",,
"2003-05-17",-0.2623,-0.0938
"2003-05-18",-0.1858,-0.0087
"2003-05-25",-0.2519,-0.0768
"2003-05-26",-0.244,-0.0976
"2003-06-02",-0.1292,-0.0319
"2003-06-11",-0.2645,-0.0875
"2003-06-18",-0.1637,
"2003-06-27",-0.2455,-0.0806
"2003-07-04",-0.2486,-0.0793
"2003-07-13",,
"2003-07-20",-0.2248,-0.0534
"2003-07-21",-0.2356,-0.0813
"2003-07-28",-0.1858,-0.0416
"2003-07-29",,
"2003-08-05",-0.2175,-0.036
"2003-08-06",-0.2186,-0.0614
"2003-08-13",-0.2259,-0.064
"2003-08-14",-0.2205,-0.0587
"2003-08-21",-0.103,
"2003-08-22",-0.1831,-0.0701
"2003-08-29",-0.1908,0.0047
"2003-09-06",,
"2003-09-15",-0.2256,-0.05
"2003-09-22",-0.2323,-0.0556
"2003-09-23",-0.2153,-0.0472
"2003-09-30",-0.2162,-0.0433
